Exp,s,block,cond,mental,physical,temporal,performance,effort,frustration,mean_v.C,mean_v.N,mean_v.Cerr,mean_v.Nerr,mean_v.P,diff.C,diff.N,sum.C,sum.N,sum
E1,27,Control,D,20.5,1.5,20.5,18.5,20.5,20.5,1.5956393,2.1644285,2.004942726,1.3004591,,-0.409303426,0.8639694,3.600582026,3.4648876,7.065469626
E1,27,PM,A,12.5,1.5,14.5,9.5,17.5,14.5,1.2682354,1.21580911,0.87277744,0.9513987,0.6505295,0.39545796,0.26441041,2.14101284,2.16720781,4.95875015
E1,27,PM,B,16.5,1.5,18.5,15.5,19.5,16.5,1.2684091,1.4933491,1.4832136,0.85389867,0.9816029,-0.2148045,0.63945043,2.7516227,2.34724777,6.08047337
E1,27,PM,C,11.5,1.5,17.5,16.5,18.5,11.5,1.0635805,1.458306,1.32462227,0.8784562,0.00121857,-0.26104177,0.5798498,2.38820277,2.3367622,4.72618354
E1,27,PM,D,19.5,1.5,19.5,17.5,19.5,19.5,1.5598755,1.9682544,1.9408997,1.2346171,1.21182051,-0.3810242,0.7336373,3.5007752,3.2028715,7.91546721
E1,28,Control,A,14,7,10,7,9,6,0.9655313,1.7164148,0.82007997,0.08893915,,0.14545133,1.62747565,1.78561127,1.80535395,3.59096522
E1,28,Control,B,11,11,8,6,9,8,1.4430961,1.7065526,0.8898941,0.98351842,,0.553202,0.72303418,2.3329902,2.69007102,5.02306122
E1,28,Control,C,15,8,12,10,7,10,1.7091867,2.076544,0.78179112,1.24022352,,0.92739558,0.83632048,2.49097782,3.31676752,5.80774534
E1,28,Control,D,13,11,13,10,11,9,1.5323043,2.0252789,0.771767999,1.0534453,,0.760536301,0.9718336,2.304072299,3.0787242,5.382796499
E1,28,PM,A,16,10,11,7,13,9,1.5189677,2.04404639,1.06534218,0.28001187,2.9114266,0.45362552,1.76403452,2.58430988,2.32405826,7.81979474
E1,28,PM,B,16,10,7,6,10,8,1.479824,2.2775823,1.2038619,1.00763412,1.4574414,0.2759621,1.26994818,2.6836859,3.28521642,7.42634372
E1,28,PM,C,15,7,12,9,12,10,1.3412858,2.020864,0.9399707,-0.02418303,1.84151537,0.4013151,2.04504703,2.2812565,1.99668097,6.11945284
E1,28,PM,D,17,11,15,13,13,11,2.072989,1.6756686,0.906189,1.6670064,2.12174333,1.1668,0.0086622,2.979178,3.342675,8.44359633
E1,29,Control,A,12.5,4.5,12.5,13.5,13.5,11.5,0.9190855,1.2452101,0.90323284,0.54715081,,0.01585266,0.69805929,1.82231834,1.79236091,3.61467925
E1,29,Control,B,13.5,4.5,13.5,15,13.5,11.5,1.1539558,1.2419707,0.9575033,0.48030252,,0.1964525,0.76166818,2.1114591,1.72227322,3.83373232
E1,29,Control,C,11.5,4.5,6.5,10.5,11.5,5.5,0.7864838,1.3133792,0.78437664,-0.10324127,,0.00210716,1.41662047,1.57086044,1.21013793,2.78099837
E1,29,Control,D,17.5,6.5,19.5,16.5,15.5,18.5,1.7197681,1.7819742,1.853868121,1.4601885,,-0.134100021,0.3217857,3.573636221,3.2421627,6.815798921
E1,29,PM,A,15.5,1.5,19.5,15.5,16.5,14.5,1.175722,1.5696842,1.35385183,0.81959617,2.2711345,-0.17812983,0.75008803,2.52957383,2.38928037,7.1899887
E1,29,PM,B,15,4.5,11.5,14.5,14.5,11.5,1.1707687,1.6760619,1.3638147,1.05297144,2.6893251,-0.193046,0.62309046,2.5345834,2.72903334,7.95294184
E1,29,PM,C,13.5,4.5,6.5,11.5,12.5,7.5,1.2698399,1.551642,1.19561771,0.79660053,2.90279405,0.07422219,0.75504147,2.46545761,2.34824253,7.71649419
E1,29,PM,D,18.5,6.5,20.5,16.5,15.5,18.5,1.4181917,1.8915612,1.9107423,1.2859493,1.45355451,-0.4925506,0.6056119,3.328934,3.1775105,7.95999901
